jogador_pasta,img,aba,nome,overall,gols,time_gols,assistencias,time_assistencias,finalizacoes,time_finalizacoes,precisao_finalizacoes_pct,time_precisao_finalizacoes_pct,passes,time_passes,precisao_passes_pct,time_precisao_passes_pct,dribles,time_dribles,taxa_dribles_certos_pct,time_taxa_dribles_certos_pct,divididas,time_divididas,taxa_divididas_ganhas_pct,time_taxa_divididas_ganhas_pct,impedimentos,time_impedimentos,faltas_cometidas,time_faltas_cometidas,posses_bola_ganhas,time_posses_bola_ganhas,perdas_posse_bola,time_perdas_posse_bola,minutos_jogados_media_time,time_minutos_jogados_media_time,distancia_percorrida_media_time_km,time_distancia_percorrida_media_time_km,distancia_corrida_media_time_km,time_distancia_corrida_media_time_km,passes_assistencias,passes_assistencias_esperadas,passes_passes,passes_concluidos,passes_interceptados,passes_precisao_passe_pct,passes_para_impedimento,passes_rasteiro,passes_por_cobertura,passes_enfiada,passes_enfiada_por_cima,passes_cruzamento,passes_bola_parada,finalizacoes_gols,finalizacoes_gols_esperados,finalizacoes_finalizacoes,finalizacoes_certas,finalizacoes_erradas,finalizacoes_bloqueadas,finalizacoes_precisao_pct,finalizacoes_normal,finalizacoes_colocada,finalizacoes_cabeceio,finalizacoes_rasteira,finalizacoes_de_voleio,finalizacoes_por_cobertura,finalizacoes_bola_parada,defesa_divididas_em_pe,defesa_divididas_em_pe_ganhas,defesa_taxa_divididas_em_pe_ganhas_pct,defesa_carrinhos,defesa_carrinhos_certos,defesa_taxa_carrinhos_certos_pct,defesa_interceptacoes,defesa_bloqueios,defesa_chutoes,defesa_disputas_aereas_ganhas,defesa_duelos_perdidos,defesa_faltas_cometidas,defesa_penaltis_cometidos,defesa_gols_contra
Olise,Captura de Tela (824).png,resumo,Michael Olise,78,5.0,4.0,1.0,3.0,4.0,0.0,50.0,56.0,5.0,79.0,100.0,84.0,0.0,63.0,89.0,87.0,3.0,14.0,0.0,14.0,0.0,0.0,0.0,1.0,2.0,20.0,1.0,15.0,92.0,72.0,110.4,7.4,2.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olise,Captura de Tela (846).png,resumo,Michael Olise,79,0.0,2.0,0.0,2.0,3.0,10.0,67.0,50.0,7.0,101.0,86.0,84.0,0.0,78.0,89.0,92.0,0.0,10.0,0.0,20.0,0.0,0.0,0.0,4.0,0.0,20.0,2.0,18.0,93.0,68.0,11.2,7.3,2.9,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richards,Captura de Tela (680).png,resumo,Chris Richards,74,0.0,3.0,0.0,3.0,0.0,8.0,0.0,63.0,7.0,89.0,100.0,85.0,3.0,69.0,67.0,83.0,5.0,16.0,60.0,38.0,0.0,0.0,0.0,3.0,7.0,23.0,0.0,18.0,93.0,73.0,9.3,7.7,1.4,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ferguson,Captura de Tela (1266).png,resumo,Nathan Ferguson,71,0.0,1.0,1.0,1.0,0.0,5.0,0.0,60.0,0.0,72.0,100.0,82.0,3.0,59.0,100.0,90.0,1.0,17.0,0.0,29.0,0.0,0.0,0.0,1.0,2.0,15.0,0.0,14.0,92.0,72.0,40.4,7.3,2.8,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sarr,Captura de Tela (1005).png,resumo,Ismaila Sarr,81,0.0,0.0,0.0,2.0,2.0,8.0,90.0,75.0,9.0,120.0,78.0,87.0,11.0,103.0,91.0,89.0,0.0,13.0,0.0,23.0,0.0,1.0,0.0,0.0,1.0,23.0,3.0,21.0,92.0,72.0,0.8,7.3,2.9,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sarr,Captura de Tela (1052).png,resumo,Ismaila Sarr,81,0.0,1.0,0.0,1.0,1.0,8.0,0.0,25.0,10.0,75.0,100.0,80.0,6.0,59.0,83.0,92.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,3.0,1.0,20.0,0.0,15.0,92.0,63.0,1.0,6.7,2.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sarr,Captura de Tela (1257).png,resumo,Ismaila Sarr,81,0.0,2.0,1.0,2.0,1.0,9.0,0.0,96.0,6.0,103.0,100.0,90.0,5.0,84.0,100.0,92.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,17.0,93.0,63.0,0.6,6.5,2.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sarr,Captura de Tela (1265).png,resumo,Ismaila Sarr,81,0.0,1.0,0.0,1.0,0.0,5.0,0.0,60.0,7.0,72.0,86.0,82.0,7.0,59.0,100.0,90.0,0.0,17.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,14.0,69.0,72.0,7.8,7.3,1.5,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sarr,Captura de Tela (1286).png,resumo,Ismaila Sarr,81,3.0,4.0,0.0,4.0,4.0,10.0,100.0,80.0,6.0,63.0,100.0,79.0,0.0,55.0,100.0,84.0,2.0,19.0,100.0,84.0,0.0,0.0,0.0,1.0,2.0,23.0,1.0,18.0,93.0,63.0,2.6,7.2,4.3,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sarr,Captura de Tela (1301).png,resumo,Ismaila Sarr,81,0.0,7.0,2.0,5.0,0.0,17.0,0.0,65.0,8.0,57.0,75.0,79.0,8.0,54.0,100.0,96.0,1.0,21.0,100.0,86.0,0.0,2.0,0.0,1.0,2.0,23.0,1.0,10.0,71.0,64.0,8.7,6.2,2.4,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sarr,Captura de Tela (748).png,resumo,Ismaila Sarr,80,1.0,1.0,0.0,0.0,1.0,5.0,100.0,0.0,5.0,99.0,80.0,86.0,5.0,79.0,60.0,90.0,1.0,13.0,0.0,23.0,0.0,0.0,0.0,1.0,2.0,18.0,2.0,19.0,94.0,73.0,9.1,7.2,0.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sarr,Captura de Tela (927).png,resumo,Ismaila Sarr,80,1.0,2.0,0.0,0.0,90.0,90.0,6.0,68.0,100.0,82.0,0.0,0.0,0.0,8.0,0.0,38.0,0.0,0.0,1.0,15.0,0.0,12.0,92.0,72.0,1.0,7.2,2.4,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
