jogador_pasta,img,aba,nome,overall,gols,time_gols,assistencias,time_assistencias,finalizacoes,time_finalizacoes,precisao_finalizacoes_pct,time_precisao_finalizacoes_pct,passes,time_passes,precisao_passes_pct,time_precisao_passes_pct,dribles,time_dribles,taxa_dribles_certos_pct,time_taxa_dribles_certos_pct,divididas,time_divididas,taxa_divididas_ganhas_pct,time_taxa_divididas_ganhas_pct,impedimentos,time_impedimentos,faltas_cometidas,time_faltas_cometidas,posses_bola_ganhas,time_posses_bola_ganhas,perdas_posse_bola,time_perdas_posse_bola,minutos_jogados_media_time,time_minutos_jogados_media_time,distancia_percorrida_media_time_km,time_distancia_percorrida_media_time_km,distancia_corrida_media_time_km,time_distancia_corrida_media_time_km,passes_assistencias,passes_assistencias_esperadas,passes_passes,passes_concluidos,passes_interceptados,passes_precisao_passe_pct,passes_para_impedimento,passes_rasteiro,passes_por_cobertura,passes_enfiada,passes_enfiada_por_cima,passes_cruzamento,passes_bola_parada,finalizacoes_gols,finalizacoes_gols_esperados,finalizacoes_finalizacoes,finalizacoes_certas,finalizacoes_erradas,finalizacoes_bloqueadas,finalizacoes_precisao_pct,finalizacoes_normal,finalizacoes_colocada,finalizacoes_cabeceio,finalizacoes_rasteira,finalizacoes_de_voleio,finalizacoes_por_cobertura,finalizacoes_bola_parada,defesa_divididas_em_pe,defesa_divididas_em_pe_ganhas,defesa_taxa_divididas_em_pe_ganhas_pct,defesa_carrinhos,defesa_carrinhos_certos,defesa_taxa_carrinhos_certos_pct,defesa_interceptacoes,defesa_bloqueios,defesa_chutoes,defesa_disputas_aereas_ganhas,defesa_duelos_perdidos,defesa_faltas_cometidas,defesa_penaltis_cometidos,defesa_gols_contra
Eze,Captura de Tela (1285).png,passes,Eze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.5,12.0,10.0,1.0,83.0,0.0,2.0,0.0,7.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eze,Captura de Tela (1300).png,resumo,Eberechi Eze,87,3.0,7.0,1.0,5.0,4.0,17.0,100.0,65.0,8.0,57.0,75.0,79.0,9.0,54.0,100.0,96.0,1.0,21.0,100.0,86.0,0.0,2.0,0.0,1.0,1.0,23.0,1.0,10.0,61.0,64.0,7.4,6.2,1.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eze,Captura de Tela (1312).png,resumo,Eberechi Eze,87,0.0,0.0,0.0,0.0,3.0,5.0,33.0,0.0,16.0,104.0,81.0,87.0,16.0,93.0,88.0,90.0,0.0,14.0,0.0,36.0,0.0,0.0,0.0,0.0,2.0,20.0,5.0,21.0,93.0,73.0,9.7,7.1,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eze,Captura de Tela (727).png,resumo,Eberechi Eze,81,2.0,2.0,0.0,1.0,9.0,11.0,96.0,0.0,9.0,69.0,78.0,83.0,15.0,68.0,87.0,81.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,3.0,16.0,92.0,67.0,9.9,7.0,1.3,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eze,Captura de Tela (747).png,resumo,Eberechi Eze,81,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,15.0,99.0,80.0,86.0,14.0,79.0,100.0,90.0,0.0,13.0,0.0,23.0,0.0,0.0,0.0,1.0,1.0,18.0,2.0,19.0,94.0,73.0,9.9,7.2,0.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eze,Captura de Tela (754).png,resumo,Eberechi Eze,81,0.0,0.0,1.0,1.0,6.0,14.0,33.0,43.0,11.0,91.0,100.0,87.0,13.0,79.0,85.0,90.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,2.0,18.0,0.0,17.0,93.0,68.0,19.3,7.0,1.2,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eze,Captura de Tela (777).png,resumo,Eberechi Eze,81,0.0,0.0,1.0,1.0,1.0,2.0,0.0,90.0,12.0,109.0,98.0,83.0,10.0,85.0,80.0,87.0,2.0,12.0,90.0,25.0,1.0,2.0,1.0,2.0,2.0,17.0,4.0,18.0,94.0,64.0,110.4,6.8,1.8,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eze,Captura de Tela (794).png,resumo,Eberechi Eze,81,0.0,0.0,1.0,4.0,3.0,7.0,33.0,7.0,0.0,91.0,100.0,86.0,0.0,65.0,100.0,95.0,0.0,12.0,0.0,33.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,11.0,93.0,78.0,19.8,7.9,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eze,Captura de Tela (817).png,resumo,Eberechi Eze,81,0.0,0.0,0.0,1.0,1.0,3.0,0.0,33.0,10.0,154.0,90.0,90.0,6.0,108.0,83.0,91.0,0.0,15.0,0.0,33.0,0.0,0.0,0.0,2.0,0.0,19.0,2.0,20.0,94.0,63.0,18.6,9.9,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eze,Captura de Tela (825).png,resumo,Eberechi Eze,81,0.0,4.0,0.0,3.0,1.0,0.0,100.0,56.0,10.0,79.0,70.0,84.0,14.0,63.0,64.0,87.0,1.0,14.0,0.0,14.0,0.0,0.0,0.0,1.0,2.0,20.0,5.0,15.0,92.0,72.0,110.5,7.4,2.2,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eze,Captura de Tela (845).png,resumo,Eberechi Eze,81,0.0,0.0,1.0,2.0,3.0,10.0,0.0,50.0,16.0,101.0,94.0,84.0,19.0,78.0,84.0,92.0,0.0,10.0,0.0,20.0,0.0,0.0,0.0,4.0,0.0,20.0,3.0,18.0,93.0,68.0,110.5,7.3,1.8,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eze,Captura de Tela (848).png,resumo,Eberechi Eze,81,0.0,0.0,0.0,1.0,1.0,7.0,100.0,37.0,10.0,69.0,90.0,83.0,0.0,56.0,89.0,80.0,1.0,16.0,0.0,19.0,0.0,0.0,0.0,1.0,2.0,17.0,1.0,18.0,92.0,72.0,110.1,7.3,1.8,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eze,Captura de Tela (854).png,resumo,Eberechi Eze,81,1.0,0.0,0.0,1.0,4.0,7.0,75.0,37.0,19.0,104.0,89.0,91.0,21.0,86.0,81.0,90.0,0.0,17.0,0.0,24.0,0.0,0.0,0.0,3.0,2.0,14.0,7.0,17.0,95.0,74.0,110.0,7.2,1.8,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eze,Captura de Tela (884).png,resumo,Eberechi Eze,82,1.0,4.0,0.0,0.0,4.0,6.0,100.0,67.0,14.0,136.0,93.0,89.0,13.0,104.0,85.0,94.0,0.0,9.0,0.0,44.0,0.0,1.0,0.0,1.0,1.0,19.0,5.0,20.0,94.0,73.0,9.7,7.1,1.1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eze,Captura de Tela (909).png,resumo,Eberechi Eze,87,0.0,3.0,0.0,2.0,9.0,15.0,44.0,40.0,14.0,98.0,79.0,86.0,19.0,82.0,79.0,88.0,0.0,12.0,0.0,25.0,0.0,0.0,0.0,1.0,1.0,21.0,6.0,17.0,93.0,68.0,0.0,7.1,1.8,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eze,Captura de Tela (921).png,resumo,Eberechi Eze,87,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,13.0,88.0,100.0,92.0,13.0,71.0,85.0,90.0,0.0,6.0,0.0,33.0,1.0,1.0,0.0,0.0,0.0,14.0,2.0,13.0,92.0,63.0,9.7,6.3,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eze,Captura de Tela (926).png,resumo,Eberechi Eze,82,0.0,2.0,1.0,2.0,5.0,8.0,0.0,90.0,7.0,68.0,86.0,82.0,13.0,97.0,85.0,96.0,0.0,8.0,0.0,38.0,0.0,0.0,0.0,2.0,0.0,15.0,4.0,12.0,92.0,72.0,0.2,7.2,1.3,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fink,Captura de Tela (775).png,resumo,Elias Fink,63,0.0,0.0,0.0,1.0,0.0,2.0,0.0,90.0,10.0,109.0,100.0,83.0,8.0,85.0,100.0,87.0,3.0,12.0,67.0,25.0,0.0,2.0,0.0,2.0,4.0,17.0,0.0,18.0,86.0,64.0,18.4,6.8,1.0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fink,Captura de Tela (776).png,resumo,Elias Fink,63,0.0,0.0,0.0,2.0,0.0,2.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaita,Captura de Tela (1007).png,resumo,Vicente Guaita,78,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaita,Captura de Tela (1199).png,resumo,Vicente Guaita,78,0.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gordon,Captura de Tela (1043).png,resumo,Anthony Gordon,76,0.0,1.0,0.0,1.0,2.0,9.0,90.0,96.0,7.0,88.0,86.0,89.0,10.0,72.0,90.0,92.0,0.0,10.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0,18.0,2.0,17.0,92.0,77.0,40.6,8.2,1.6,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gordon,Captura de Tela (1053).png,resumo,Anthony Gordon,77,0.0,1.0,0.0,1.0,1.0,8.0,0.0,25.0,6.0,75.0,90.0,80.0,6.0,59.0,83.0,92.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,3.0,4.0,20.0,4.0,15.0,92.0,63.0,1.3,6.7,2.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gordon,Captura de Tela (1185).png,resumo,Anthony Gordon,77,0.0,0.0,0.0,2.0,2.0,8.0,90.0,38.0,14.0,223.0,93.0,92.0,14.0,174.0,100.0,96.0,0.0,15.0,0.0,33.0,1.0,2.0,0.0,1.0,2.0,23.0,2.0,19.0,94.0,73.0,9.0,6.5,1.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gordon,Captura de Tela (1247).png,resumo,Anthony Gordon,77,0.0,0.0,0.0,0.0,0.0,4.0,0.0,25.0,8.0,66.0,75.0,79.0,6.0,58.0,100.0,95.0,0.0,15.0,0.0,47.0,0.0,0.0,0.0,0.0,1.0,16.0,2.0,16.0,93.0,73.0,1.2,7.8,2.4,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gordon,Captura de Tela (1287).png,resumo,Anthony Gordon,77,0.0,4.0,1.0,4.0,0.0,10.0,0.0,80.0,5.0,63.0,100.0,79.0,4.0,55.0,100.0,84.0,3.0,19.0,33.0,84.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,18.0,93.0,0.0,2.0,7.2,3.2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gordon,Captura de Tela (1302).png,resumo,Anthony Gordon,77,2.0,7.0,0.0,0.0,5.0,17.0,60.0,65.0,4.0,57.0,75.0,79.0,0.0,54.0,100.0,96.0,1.0,21.0,100.0,86.0,2.0,2.0,0.0,1.0,2.0,23.0,2.0,10.0,94.0,64.0,0.3,6.2,2.4,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gordon,Captura de Tela (702).png,resumo,Anthony Gordon,75,0.0,0.0,3.0,6.0,1.0,10.0,100.0,90.0,11.0,84.0,82.0,87.0,10.0,75.0,90.0,87.0,0.0,11.0,0.0,64.0,0.0,0.0,0.0,1.0,1.0,19.0,2.0,14.0,93.0,63.0,0.9,6.5,2.1,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gordon,Captura de Tela (796).png,resumo,Anthony Gordon,76,0.0,0.0,1.0,4.0,0.0,7.0,0.0,37.0,3.0,91.0,67.0,86.0,3.0,65.0,67.0,95.0,1.0,12.0,100.0,33.0,0.0,0.0,0.0,1.0,1.0,13.0,1.0,11.0,68.0,78.0,18.1,7.9,1.7,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guehi,Captura de Tela (1054).png,resumo,Marc Guehi,80,0.0,1.0,0.0,1.0,0.0,8.0,0.0,25.0,10.0,75.0,60.0,80.0,3.0,59.0,100.0,92.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,4.0,6.0,20.0,3.0,15.0,0.0,0.0,0.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guehi,Captura de Tela (1055).png,defesa,Guehi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guehi,Captura de Tela (1267).png,resumo,Marc Guehi,80,0.0,1.0,0.0,1.0,0.0,5.0,0.0,60.0,10.0,72.0,90.0,82.0,9.0,59.0,100.0,90.0,6.0,17.0,33.0,29.0,0.0,0.0,0.0,1.0,3.0,15.0,1.0,14.0,92.0,72.0,8.9,7.3,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lerma,Captura de Tela (1194).png,resumo,Jefferson Lerma,76,1.0,2.0,1.0,2.0,2.0,8.0,90.0,38.0,24.0,223.0,100.0,92.0,20.0,174.0,95.0,96.0,4.0,15.0,0.0,33.0,0.0,2.0,0.0,1.0,2.0,23.0,1.0,19.0,94.0,73.0,9.0,6.5,1.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lerma,Captura de Tela (1195).png,resumo,Jefferson Lerma,76,0.0,0.0,0.0,1.0,0.0,0.6,0.0,24.0,0.0,24.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lerma,Captura de Tela (1196).png,resumo,Jefferson Lerma,76,0.0,0.0,0.0,1.0,0.0,0.1,0.0,2.0,0.0,1.0,4.0,1.0,0.0,0.0,9.0,50.0,4.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lerma,Captura de Tela (1197).png,resumo,Jefferson Lerma,76,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lerma,Captura de Tela (1198).png,resumo,Jefferson Lerma,76,1.0,2.0,1.0,2.0,2.0,8.0,90.0,38.0,24.0,223.0,100.0,92.0,20.0,174.0,95.0,96.0,4.0,15.0,0.0,33.0,0.0,2.0,0.0,1.0,2.0,23.0,1.0,19.0,94.0,73.0,9.0,6.5,1.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lerma,Captura de Tela (1248).png,resumo,Jefferson Lerma,76,0.0,0.0,0.0,0.0,0.0,4.0,0.0,25.0,7.0,66.0,100.0,79.0,5.0,58.0,100.0,95.0,4.0,15.0,90.0,47.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,16.0,93.0,73.0,0.6,7.8,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lerma,Captura de Tela (1249).png,defesa,Lerma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,100.0,3.0,1.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Lerma,Captura de Tela (1313).png,resumo,Jefferson Lerma,76,0.0,0.0,0.0,0.0,0.0,5.0,0.0,40.0,18.0,104.0,83.0,87.0,16.0,93.0,100.0,90.0,2.0,14.0,90.0,36.0,0.0,0.0,0.0,0.0,4.0,20.0,1.0,21.0,93.0,73.0,0.6,7.1,1.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lerma,Captura de Tela (855).png,resumo,Jefferson Lerma,76,0.0,0.0,1.0,1.0,0.0,7.0,0.0,37.0,0.0,104.0,89.0,91.0,5.0,86.0,100.0,90.0,3.0,17.0,33.0,24.0,0.0,0.0,0.0,3.0,2.0,14.0,1.0,17.0,95.0,74.0,110.3,7.2,1.7,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewis Cook,Captura de Tela (1256).png,resumo,Lewis Cook,76,0.0,2.0,0.0,2.0,1.0,9.0,100.0,96.0,17.0,103.0,88.0,90.0,13.0,84.0,100.0,92.0,1.0,6.0,0.0,90.0,0.0,0.0,0.0,1.0,3.0,18.0,3.0,17.0,93.0,63.0,9.9,6.5,1.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewis Cook,Captura de Tela (1288).png,resumo,Tom Davies,77,1.0,4.0,1.0,4.0,1.0,10.0,100.0,80.0,6.0,63.0,90.0,79.0,6.0,55.0,100.0,84.0,4.0,19.0,100.0,84.0,0.0,0.0,0.0,1.0,4.0,23.0,3.0,18.0,93.0,63.0,0.5,7.2,2.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewis Cook,Captura de Tela (944).png,resumo,Lewis Cook,76,4.0,3.0,1.0,2.0,1.0,5.0,100.0,80.0,4.0,82.0,92.0,87.0,10.0,67.0,100.0,90.0,0.0,10.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,16.0,2.0,15.0,92.0,77.0,9.9,7.4,0.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Livramento,Captura de Tela (818).png,resumo,Tino Livramento,75,0.0,0.0,1.0,1.0,1.0,0.0,0.0,33.0,6.0,154.0,83.0,90.0,5.0,108.0,100.0,91.0,0.0,15.0,0.0,33.0,0.0,0.0,0.0,2.0,1.0,19.0,2.0,20.0,49.0,63.0,15.4,9.9,1.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mateta,Captura de Tela (1050).png,resumo,Jean-Philippe Mateta,78,1.0,1.0,0.0,1.0,4.0,8.0,90.0,25.0,6.0,75.0,83.0,80.0,9.0,59.0,100.0,92.0,3.0,14.0,0.0,14.0,0.0,0.0,0.0,3.0,1.0,20.0,2.0,15.0,52.0,63.0,5.3,6.7,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mateta,Captura de Tela (1254).png,resumo,Jean-Philippe Mateta,78,2.0,2.0,0.0,2.0,4.0,9.0,90.0,96.0,8.0,103.0,88.0,90.0,9.0,84.0,89.0,92.0,1.0,6.0,0.0,90.0,0.0,0.0,0.0,1.0,2.0,18.0,2.0,17.0,93.0,63.0,9.2,6.5,1.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mateta,Captura de Tela (1263).png,resumo,Jean-Philippe Mateta,78,1.0,1.0,0.0,1.0,2.0,5.0,100.0,60.0,0.0,72.0,80.0,82.0,4.0,59.0,100.0,90.0,2.0,17.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,15.0,2.0,14.0,92.0,72.0,8.5,7.3,0.9,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mateta,Captura de Tela (1282).png,resumo,Jean-Philippe Mateta,78,0.0,4.0,1.0,4.0,1.0,10.0,0.0,80.0,8.0,63.0,88.0,79.0,5.0,55.0,100.0,84.0,0.0,19.0,0.0,84.0,0.0,0.0,0.0,1.0,2.0,23.0,1.0,18.0,86.0,63.0,9.1,7.2,1.7,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mateta,Captura de Tela (1299).png,resumo,Jean-Philippe Mateta,78,2.0,7.0,1.0,5.0,6.0,17.0,90.0,65.0,9.0,57.0,89.0,79.0,11.0,94.0,91.0,96.0,2.0,21.0,100.0,86.0,0.0,2.0,0.0,1.0,2.0,23.0,2.0,10.0,94.0,64.0,9.6,6.2,1.3,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
