jogador_pasta,img,nome,overall,gols_jogador,gols_time,assistencias_jogador,assistencias_time,finalizacoes_jogador,finalizacoes_time,precisao_finalizacoes_pct_jogador,precisao_finalizacoes_pct_time,passes_jogador,passes_time,precisao_passes_pct_jogador,precisao_passes_pct_time,dribles_jogador,dribles_time,taxa_dribles_certos_pct_jogador,taxa_dribles_certos_pct_time,divididas_jogador,divididas_time,taxa_divididas_ganhas_pct_jogador,taxa_divididas_ganhas_pct_time,impedimentos_jogador,impedimentos_time,faltas_cometidas_jogador,faltas_cometidas_time,posses_bola_ganhas_jogador,posses_bola_ganhas_time,perdas_posse_bola_jogador,perdas_posse_bola_time,minutos_jogados_media_time_jogador,minutos_jogados_media_time_time,distancia_percorrida_media_time_km_jogador,distancia_percorrida_media_time_km_time,distancia_corrida_media_time_km_jogador,distancia_corrida_media_time_km_time
,Captura de Tela (3342).png,Eddie Nketiah,77,0,0,0,0,0,6,0,17,1,115,100,92,1,88,100,88,0,10,0,40,0,0,0,1,0,10,0,11,217,63,"2,8","5,8","1,9","3,6"
,Captura de Tela (3343).png,Daichi Kamada,81,0,0,0,0,0,6,0,17,0,115,0,92,0,88,0,88,0,10,0,40,0,0,0,1,0,10,0,11,9,63,"1,0","5,8","0,7","43,6"
,Captura de Tela (3344).png,Ismaila Sarr,84,0,0,0,0,2,6,0,17,7,115,71,92,7,88,57,88,2,10,100,40,0,0,0,1,1,10,3,11,93,63,"9,4","5,8","6,1","3,6"
,Captura de Tela (3345).png,Reece Paterson,72,0,0,0,0,3,6,0,17,6,115,83,92,7,88,86,88,0,10,0,40,0,0,0,1,0,10,3,11,66,63,"6,3","5,8","4,0","3,6"
,Captura de Tela (3346).png,Will Hughes,76,0,0,0,0,1,6,100,17,15,115,100,92,8,88,88,88,1,10,0,40,0,0,0,1,0,10,0,11,93,63,"9,2","5,8","5,9","3,6"
,Captura de Tela (3347).png,Jesurun Rak-Sakyi,73,0,0,0,0,0,6,0,17,3,115,67,92,4,88,75,88,1,10,100,40,0,0,0,1,1,10,1,11,27,63,"3,3","5,8","2,5","3,6"
,Captura de Tela (3348).png,Anthony Gordon,79,0,0,0,0,0,6,0,17,6,115,67,92,4,88,50,88,0,10,0,40,0,0,0,1,0,10,1,11,66,63,"4,1","5,8","3,3","3,6"
,Captura de Tela (3349).png,Neer Davies,79,0,0,0,0,0,6,0,17,20,115,95,92,18,88,94,88,0,10,0,40,0,0,0,1,1,10,1,11,84,63,"8,2","5,8","5,1","3,6"
,Captura de Tela (3350).png,Jefferson Lerma,76,0,0,0,0,0,6,0,17,20,115,100,92,16,88,100,88,0,10,0,40,0,0,0,1,0,10,0,11,66,63,"6,2","5,8","3,6","3,6"
,Captura de Tela (3351).png,Djed Spence,77,0,0,0,0,0,6,0,17,8,115,88,92,4,88,100,88,2,10,0,40,0,0,0,1,0,10,1,11,93,63,"9,7","5,8","6,6","3,6"
,Captura de Tela (3352).png,Stanisic,75,0,0,0,0,0,6,0,17,2,115,100,92,2,88,50,88,2,10,0,40,0,0,0,1,0,10,0,11,93,63,"8,0","5,8","4,5","3,6"
